siteid size segmentid n k a cost maxdate mindate days
788695 728x90 83 8478304 5624 1 1234.64 2011-11-28 2011-03-30 243
770253 160x600 84 8404216 889 6 433.80 2011-09-06 2011-03-01 189
785925 728x90 81 8275842 661 1 1257.43 2011-09-27 2011-03-01 210
764293 468x60 1 8231095 3644 21 530.63 2011-11-28 2011-03-02 271
743812 728x90 83 8220899 7638 40 8774.67 2011-09-30 2011-03-01 213
788695 728x90 82 8111880 7655 2 2047.98 2011-11-28 2011-03-30 243
755382 728x90 1183 8065271 3956 64 10719.49 2011-11-28 2011-03-15 258
796986 300x250 1183 7998542 323 5 417.71 2011-09-27 2011-03-01 210
795235 160x600 83 7998303 1144 3 388.16 2011-08-31 2011-03-01 183
783265 160x600 1183 7947874 2233 15 430.01 2011-09-01 2011-03-01 184
770259 728x90 84 7901124 279 5 490.43 2011-08-29 2011-03-01 181
785925 728x90 82 7895023 538 0 577.29 2011-09-27 2011-03-01 210
743812 728x90 82 7815859 7791 63 8942.42 2011-10-08 2011-03-01 221
776692 728x90 1183 7734233 11933 86 9667.95 2011-09-28 2011-03-10 202
789061 728x90 82 7680429 687 5 1115.34 2011-09-26 2011-03-02 208
743832 728x90 81 7615214 2471 27 5355.70 2011-11-28 2011-03-01 272
795237 728x90 84 7604432 374 0 338.76 2011-08-31 2011-03-01 183
789851 728x90 1183 7600643 3613 59 3458.16 2011-11-28 2011-03-01 272
795236 300x250 85 7572392 241 1 104.51 2011-08-25 2011-03-01 177
790722 160x600 1183 7559152 3336 21 1835.54 2011-10-25 2011-03-01 238
813535 300x250 1183 7549937 2216 10 73.37 2011-11-28 2011-10-06 53
795235 160x600 84 7351550 837 1 355.32 2011-09-01 2011-03-01 184
762497 300x250 1183 7318981 1673 183 8210.65 2011-11-28 2011-04-01 241
763097 728x90 84 7179435 2113 13 2917.38 2011-11-28 2011-03-09 264
794916 300x250 85 7118782 649 1 328.92 2011-11-23 2011-03-01 267
787694 728x90 1183 7032123 1712 2 370.53 2011-05-16 2011-03-01 76
708688 180x150 84 6996692 21 0 297.20 2011-08-01 2011-03-01 153
783617 728x90 1183 6868355 22211 57 4451.56 2011-11-28 2011-03-02 271
778823 728x90 1183 6845316 250 0 338.64 2011-11-28 2011-03-01 272
788827 160x600 1183 6783823 2387 41 5161.86 2011-11-28 2011-03-01 272
800539 300x250 1183 6759418 56 5 240.00 2011-11-28 2011-03-31 242
802935 160x600 1183 6735432 21297 331 5158.31 2011-11-28 2011-07-13 138
717825 160x600 1183 6719555 464 0 349.22 2011-06-10 2011-03-01 101
797317 300x250 87 6712122 170 1 1060.05 2011-09-12 2011-03-01 195
789639 300x250 1183 6681600 3927 33 11109.39 2011-11-28 2011-03-01 272
730709 728x90 65 6530567 2991 60 4536.15 2011-11-28 2011-03-13 260
790491 180x150 66 6508137 293 2 2403.37 2011-10-21 2011-03-01 234
789149 728x90 1183 6382021 305 5 524.03 2011-04-06 2011-03-01 36
790725 300x250 1183 6345724 3359 20 986.63 2011-10-25 2011-03-01 238
778652 160x600 81 6154366 2384 29 1730.08 2011-09-27 2011-03-01 210
790304 300x250 1183 6084402 1099 14 699.85 2011-06-30 2011-03-01 121
790494 300x250 66 6056653 1157 3 3273.06 2011-10-21 2011-03-01 234
770253 160x600 83 6050845 758 1 335.72 2011-09-20 2011-03-01 203
797318 300x250 1183 6043881 146 0 344.79 2011-07-14 2011-03-01 135
783616 300x250 1183 6041674 23345 47 5391.08 2011-11-28 2011-03-01 272
792442 300x250 83 6040736 123 0 122.40 2011-11-28 2011-03-01 272
790721 300x250 1183 5978130 4915 31 1856.63 2011-10-25 2011-03-01 238
794399 300x250 1183 5916027 1440 15 885.99 2011-10-29 2011-03-01 242
770259 728x90 83 5885042 224 2 267.42 2011-09-25 2011-03-01 208
743833 300x250 1183 5876815 1706 36 4636.00 2011-11-28 2011-03-01 272
775508 300x250 1183 5849232 1780 23 8259.43 2011-11-28 2011-04-02 240
792440 728x90 83 5754082 287 1 314.41 2011-11-28 2011-04-06 236
743206 300x250 272 5680244 5682 16 6815.56 2011-09-10 2011-03-01 193
791472 300x250 1183 5529172 345 5 232.22 2011-11-24 2011-03-01 268
754299 160x600 1 5523748 3700 15 5134.80 2011-11-28 2011-03-12 261
778376 728x90 1183 5502547 136 0 415.58 2011-09-14 2011-03-01 197
725952 728x90 69 5490941 9044 11 1228.73 2011-11-28 2011-03-01 272
774550 728x90 1183 5480882 8235 22 2139.77 2011-11-28 2011-03-01 272
778141 160x600 1183 5450774 145 2 2470.01 2011-11-28 2011-03-01 272
799282 300x250 1183 5220367 305 3 1113.92 2011-11-17 2011-03-09 253
755383 300x250 1183 5216181 8089 84 6360.48 2011-11-28 2011-03-01 272
782746 728x90 1183 5198043 189 12 3517.47 2011-11-28 2011-03-01 272
708686 728x90 1 5120920 161 0 241.85 2011-11-28 2011-03-01 272
789642 728x90 1183 5084677 188 10 4123.70 2011-11-28 2011-03-01 272
787731 300x250 1183 5039972 21540 227 2973.80 2011-11-28 2011-03-01 272
799281 728x90 1183 5036463 3373 7 872.70 2011-11-28 2011-03-11 262
787544 300x250 1183 5036036 479 2 2000.42 2011-11-25 2011-03-01 269
708688 180x150 83 5002036 29 1 238.68 2011-11-22 2011-03-01 266
773034 300x250 1183 4996049 70 0 289.34 2011-11-28 2011-03-01 272
805482 300x250 1183 4964210 1950 31 788.71 2011-11-28 2011-07-13 138
778919 300x250 65 4940839 559 9 3517.10 2011-11-28 2011-04-02 240
789641 300x250 1183 4938437 479 15 4050.14 2011-11-28 2011-03-01 272
807014 160x600 69 4924509 315 0 219.91 2011-11-28 2011-06-19 162
789847 728x90 1183 4919498 2574 31 3545.70 2011-11-17 2011-03-01 261
764271 728x90 82 4904688 1637 11 2935.87 2011-09-27 2011-03-01 210
778653 160x600 82 4835313 971 5 444.99 2011-09-20 2011-03-01 203
792399 728x90 1183 4833252 276 1 490.72 2011-11-27 2011-03-01 271
790019 728x90 87 4828236 7465 44 4869.19 2011-11-28 2011-03-13 260
790887 300x250 1183 4774349 5518 40 1283.85 2011-09-22 2011-03-01 205
789109 160x600 81 4757719 3517 19 3105.64 2011-08-31 2011-03-01 183
803117 728x90 1183 4752790 1529 17 6566.58 2011-11-28 2011-07-13 138
785738 234x60 87 4749208 76 1 1080.97 2011-11-28 2011-03-09 264
780442 728x90 65 4714551 2007 16 2434.27 2011-10-14 2011-03-09 219
782915 300x250 1183 4688663 431 7 1804.04 2011-11-28 2011-03-01 272
717866 160x600 1 4580757 5021 10 4174.78 2011-11-22 2011-03-01 266
787697 300x250 1183 4544523 229 1 327.82 2011-05-16 2011-03-01 76
795236 300x250 82 4514184 343 8 246.88 2011-09-27 2011-03-19 192
794917 728x90 1183 4512103 1208 7 569.26 2011-11-28 2011-03-01 272
803972 468x60 1183 4437731 1393 11 1763.49 2011-11-09 2011-04-28 195
790275 300x250 1183 4420888 6551 19 1767.64 2011-11-28 2011-03-01 272
797315 728x90 1235 4395527 672 56 1906.45 2011-09-26 2011-05-11 138
780442 728x90 66 4391988 1739 8 1869.99 2011-10-14 2011-03-02 226
795239 300x250 1183 4377528 369 2 187.52 2011-09-27 2011-03-01 210
770259 728x90 82 4334329 202 2 199.38 2011-09-27 2011-03-01 210
778656 728x90 81 4286837 521 3 959.10 2011-09-27 2011-03-01 210
770253 160x600 81 4173405 961 2 587.05 2011-09-27 2011-03-01 210
780533 728x90 1183 4172110 295 13 1054.70 2011-11-28 2011-03-01 272
760577 728x90 1 4171339 185 3 1634.29 2011-11-28 2011-03-01 272
770255 300x250 82 4153058 227 2 753.77 2011-09-05 2011-03-01 188
792442 300x250 82 4057156 126 1 195.39 2011-11-28 2011-03-01 272
754291 728x90 69 4005805 416 0 177.07 2011-11-28 2011-03-01 272
790723 728x90 1183 3951249 192 2 301.18 2011-09-25 2011-03-01 208
743812 728x90 78 3936282 14905 39 8661.00 2011-10-15 2011-03-02 227
771436 300x250 1183 3855678 352 7 2511.60 2011-11-28 2011-03-09 264
789064 728x90 82 3828526 234 2 317.51 2011-09-25 2011-03-01 208
792440 728x90 82 3810220 365 2 344.32 2011-11-28 2011-04-06 236
771444 300x250 87 3788094 2538 20 5586.93 2011-11-28 2011-03-15 258
795235 160x600 82 3760971 645 1 237.42 2011-09-27 2011-03-01 210
763477 160x600 1 3749307 2491 54 1971.80 2011-11-28 2011-03-09 264
