siteid	size	segmentid	n	k	a	cost	maxdate	mindate	days
787913	160x600	1183	3437	5	0	1.16	2011-12-06	2011-03-18	263
763046	300x250	1	1069	2	0	1.16	2011-04-22	2011-03-09	44
780074	728x90	1236	2217	0	0	1.17	2011-10-21	2011-03-09	226
772836	728x90	1183	14665	1	0	1.17	2011-10-13	2011-03-01	226
809098	300x250	1183	23905	0	0	1.18	2011-09-27	2011-07-26	63
753224	160x600	1183	2242	1	0	1.18	2011-12-10	2011-07-13	150
797005	160x600	1183	4742	0	0	1.18	2011-11-04	2011-03-01	248
766755	180x150	85	29918	0	0	1.18	2011-09-01	2011-04-13	141
729270	300x250	1	6993	1	0	1.18	2011-12-07	2011-03-01	281
721127	160x600	82	567	4	0	1.18	2011-04-27	2011-03-09	49
789062	160x600	85	79838	1	0	1.18	2011-08-30	2011-03-03	180
791477	300x250	87	7633	7	0	1.19	2011-11-22	2011-03-01	266
799393	300x250	87	1857	1	0	1.19	2011-12-11	2011-03-28	258
802528	728x90	1183	3032	0	0	1.19	2011-12-11	2011-07-14	150
796604	160x600	87	1168	1	0	1.19	2011-05-17	2011-03-01	77
777350	160x600	1183	3203	27	0	1.19	2011-09-21	2011-03-01	204
802362	728x90	1183	13308	3	0	1.20	2011-12-11	2011-06-29	165
799302	728x90	1183	2476	0	0	1.20	2011-12-01	2011-07-13	141
801098	300x250	87	3067	38	0	1.20	2011-09-26	2011-07-13	75
791349	160x600	85	24319	1	0	1.20	2011-11-08	2011-03-01	252
743211	300x250	82	771	0	0	1.20	2011-06-07	2011-03-12	87
801511	300x250	1183	4227	0	0	1.21	2011-12-11	2011-07-16	148
788727	728x90	1183	3196	0	0	1.21	2011-12-01	2011-03-24	252
797690	160x600	1183	5808	1	0	1.21	2011-12-11	2011-07-13	151
786175	160x600	87	3373	0	0	1.21	2011-06-04	2011-03-01	95
787478	728x90	68	25468	1	0	1.21	2011-05-15	2011-04-07	38
754576	728x90	1183	3016	3	0	1.21	2011-07-05	2011-03-03	124
752150	728x90	1	1593	1	0	1.21	2011-04-22	2011-03-09	44
784860	160x600	1183	1372	0	0	1.21	2011-05-03	2011-03-01	63
743195	728x90	1183	1098	3	0	1.21	2011-05-24	2011-03-01	84
790505	160x600	1183	1612	0	0	1.21	2011-12-11	2011-07-16	148
792442	300x250	77	172329	1	0	1.22	2011-08-16	2011-08-15	1
780427	160x600	1183	3585	0	0	1.22	2011-06-05	2011-03-01	96
819587	728x90	1183	125446	0	0	1.22	2011-12-07	2011-12-06	1
801290	300x250	87	1631	1	0	1.23	2011-12-08	2011-07-13	148
795516	160x600	1183	1729	0	0	1.23	2011-12-08	2011-03-11	272
806520	160x600	1183	2589	1	0	1.23	2011-11-27	2011-07-13	137
789673	160x600	1183	13618	2	0	1.23	2011-09-09	2011-07-05	66
777343	160x600	1183	3273	30	0	1.23	2011-09-22	2011-03-01	205
780988	728x90	1183	3946	4	0	1.23	2011-12-11	2011-03-09	277
765494	300x250	87	1938	1	0	1.24	2011-12-07	2011-07-13	147
799553	468x60	79	6207	1	0	1.24	2011-12-11	2011-04-24	231
748418	300x250	1	3075	0	0	1.25	2011-11-25	2011-04-02	237
791522	728x90	1183	40092	11	1	1.25	2011-08-02	2011-03-04	151
707494	728x90	78	930	5	0	1.25	2011-12-11	2011-03-12	274
780387	728x90	1236	2681	3	0	1.26	2011-08-15	2011-04-05	132
783262	160x600	1183	1697	1	0	1.26	2011-12-11	2011-03-06	280
777335	300x600	1183	27530	22	0	1.26	2011-10-21	2011-06-03	140
765331	234x60	1183	67478	224	0	1.26	2011-08-24	2011-04-13	133
819845	300x250	1183	122728	15	1	1.26	2011-12-09	2011-12-09	0
803873	160x600	87	3278	0	0	1.26	2011-12-10	2011-07-13	150
798831	300x250	87	1551	2	0	1.27	2011-12-11	2011-03-17	269
784419	180x150	82	131298	14	0	1.28	2011-10-21	2011-04-14	190
804249	300x250	1183	3563	4	0	1.28	2011-10-06	2011-07-13	85
797621	300x250	87	1500	0	0	1.28	2011-12-11	2011-07-13	151
784872	300x250	1183	2949	2	0	1.28	2011-12-11	2011-07-13	151
792439	300x250	83	11697	0	0	1.28	2011-12-06	2011-03-03	278
776588	728x90	1183	1785	1	0	1.29	2011-12-11	2011-07-13	151
818172	728x90	1183	129758	83	1	1.29	2011-12-06	2011-12-05	1
796903	300x250	84	2625	3	0	1.29	2011-08-11	2011-07-06	36
751063	300x250	1	3486	2	0	1.29	2011-12-11	2011-03-03	283
757169	300x250	1235	140185	79	0	1.29	2011-09-26	2011-07-11	77
771287	160x600	1236	732	0	0	1.29	2011-05-22	2011-03-11	72
754569	160x600	1183	4089	0	0	1.30	2011-07-05	2011-03-09	118
776867	728x90	1183	8876	5	0	1.30	2011-11-11	2011-03-16	240
786348	728x90	1183	1838	0	0	1.31	2011-12-11	2011-03-03	283
755820	728x90	1183	3200	2	0	1.31	2011-12-11	2011-03-17	269
804527	160x600	87	2016	1	0	1.31	2011-11-08	2011-07-13	118
794894	120x600	1235	2653	0	0	1.31	2011-11-22	2011-06-02	173
792041	728x90	1183	2291	3	0	1.32	2011-08-17	2011-05-20	89
803254	728x90	87	2654	1	0	1.32	2011-12-11	2011-07-13	151
