siteid	size	segmentid	n	k	a	cost	max(date)	min(date)	days
785844	300x250	1183	39	0	0	0.03	2011-03-26	2011-03-05	21
756038	728x90	87	39	0	0	0.01	2011-03-25	2011-03-10	15
800093	728x90	1183	40	0	0	0.01	2011-04-01	2011-03-28	4
793833	160x600	1183	40	0	0	0.01	2011-05-04	2011-03-12	53
789244	728x90	1183	43	0	0	0.02	2011-03-29	2011-03-15	14
747267	300x250	1183	43	0	0	0.10	2011-12-13	2011-04-01	256
804023	300x250	1183	43	0	0	0.05	2011-12-13	2011-12-12	1
799932	728x90	1183	43	0	0	0.01	2011-03-27	2011-03-11	16
781061	160x600	1183	43	0	0	0.01	2011-03-31	2011-03-02	29
737392	300x250	1	43	0	0	0.01	2011-11-22	2011-03-08	259
801954	728x90	1183	44	0	0	0.04	2012-02-03	2011-12-12	53
790211	160x600	87	45	1	0	0.04	2011-03-16	2011-03-09	7
795968	728x90	87	45	0	0	0.14	2011-03-11	2011-03-01	10
782316	728x90	1183	45	0	0	0.03	2011-04-03	2011-03-20	14
784196	300x250	87	46	0	0	0.01	2011-04-09	2011-03-17	23
790366	300x250	1183	46	0	0	0.04	2011-03-16	2011-03-14	2
743234	728x90	84	46	0	0	0.05	2011-06-02	2011-03-12	82
806404	300x250	1183	46	0	0	0.02	2011-07-19	2011-07-13	6
800099	728x90	1183	47	0	0	0.01	2011-03-27	2011-03-11	16
730189	728x90	1	47	0	0	0.01	2011-10-21	2011-03-09	226
798184	300x250	1183	47	0	0	0.04	2011-07-20	2011-07-18	2
797853	300x250	1183	48	0	0	0.02	2011-03-16	2011-03-02	14
784127	728x90	1183	48	1	0	0.02	2011-10-21	2011-03-02	233
720129	300x250	1183	48	1	0	0.06	2011-12-13	2011-12-12	1
721567	728x90	78	49	0	0	0.04	2011-12-13	2011-12-12	1
697056	728x90	87	49	0	0	0.01	2011-04-22	2011-03-22	31
781816	728x90	87	49	0	0	0.04	2011-08-13	2011-07-14	30
776683	160x600	1183	49	0	0	0.02	2011-03-31	2011-03-15	16
775444	300x250	1183	50	0	0	0.02	2011-08-13	2011-03-03	163
784985	728x90	1183	50	0	0	0.02	2011-03-31	2011-03-04	27
771526	728x90	1236	51	0	0	0.01	2011-04-22	2011-03-18	35
799734	728x90	1183	51	0	0	0.01	2011-03-31	2011-03-09	22
767836	728x90	1183	52	0	0	0.02	2011-03-09	2011-03-04	5
791271	160x600	1183	53	0	0	0.03	2011-04-24	2011-04-05	19
800732	300x250	1183	53	0	0	0.02	2011-04-02	2011-03-29	4
795446	300x250	1183	54	0	0	0.02	2011-09-27	2011-03-19	192
796963	160x600	1183	54	0	0	0.02	2011-03-30	2011-03-12	18
743197	300x250	1183	56	0	0	0.03	2011-03-31	2011-03-01	30
799816	160x600	1183	56	0	0	0.02	2011-05-20	2011-03-21	60
795891	728x90	1183	56	0	0	0.01	2011-07-16	2011-03-12	126
791349	160x600	82	56	0	0	0.01	2011-11-08	2011-03-01	252
791589	728x90	87	58	0	0	0.01	2011-03-10	2011-03-09	1
800515	160x600	1183	58	0	0	0.05	2012-02-03	2011-12-12	53
795886	300x250	1183	58	0	0	0.01	2011-07-16	2011-03-19	119
799013	160x600	1183	59	0	0	0.02	2011-03-30	2011-03-30	0
775923	300x250	1183	59	0	0	0.01	2011-12-23	2011-07-14	162
783976	728x90	1183	59	0	0	0.03	2011-03-31	2011-03-30	1
799394	300x250	1183	59	0	0	0.02	2011-03-31	2011-03-09	22
792058	728x90	1183	59	0	0	0.03	2011-04-20	2011-03-19	32
790168	160x600	1183	59	0	0	0.01	2011-04-05	2011-03-29	7
796645	300x250	1183	59	0	0	0.05	2011-10-26	2011-08-16	71
795391	300x250	79	60	0	0	0.03	2011-03-27	2011-03-19	8
783975	728x90	87	61	0	0	0.04	2011-10-20	2011-03-07	227
780517	728x90	1236	61	0	0	0.06	2012-01-19	2011-04-21	273
792240	300x250	1183	61	0	0	0.02	2011-03-25	2011-03-11	14
798062	728x90	87	62	0	0	0.01	2011-03-15	2011-03-02	13
808164	728x90	1183	62	0	0	0.01	2011-07-21	2011-07-13	8
798193	728x90	1183	62	0	0	0.05	2011-07-20	2011-07-18	2
800741	160x600	1183	63	0	0	0.03	2011-12-13	2011-12-12	1
778232	160x600	1183	64	0	0	0.03	2011-03-30	2011-03-30	0
