siteid	size	segmentid	n	k	a	cost	max(date)	min(date)	days
804720	468x60	1183	1081	0	0	0.93	2011-07-25	2011-07-13	12
730354	300x250	1183	1082	0	0	0.02	2012-01-21	2011-07-13	192
776534	160x600	1183	1083	0	0	0.68	2011-03-31	2011-03-01	30
796117	300x250	1235	1089	0	0	0.49	2011-12-28	2011-07-13	168
771111	300x250	1183	1090	1	0	0.01	2011-07-24	2011-03-01	145
784720	300x250	1183	1090	0	0	0.11	2011-09-27	2011-04-12	168
785166	160x600	87	1091	0	0	0.01	2011-09-04	2011-03-18	170
760578	300x250	1	1094	0	0	0.01	2011-09-27	2011-03-18	193
804242	160x600	1183	1094	2	0	0.63	2011-09-27	2011-07-14	75
743195	728x90	1183	1098	3	0	1.21	2011-05-24	2011-03-01	84
806522	728x90	1183	1098	0	0	0.60	2012-01-27	2011-07-13	198
793849	300x250	1183	1101	0	0	0.69	2011-12-06	2011-03-03	278
803892	728x90	1183	1102	0	0	0.71	2011-10-09	2011-07-13	88
763705	728x90	1	1105	0	0	0.03	2011-09-10	2011-03-06	188
803590	160x600	87	1106	0	0	0.55	2012-02-02	2011-07-13	204
805033	300x250	1183	1108	0	0	0.44	2011-09-09	2011-07-14	57
792915	728x90	1183	1111	1	0	1.45	2011-07-02	2011-03-11	113
794790	160x600	87	1113	0	0	0.03	2011-09-27	2011-03-01	210
796064	728x90	1183	1116	9	0	1.08	2011-03-14	2011-03-01	13
757378	728x90	1	1118	0	0	0.01	2011-09-16	2011-03-04	196
791609	160x600	1183	1118	1	0	0.54	2011-04-07	2011-03-01	37
780241	300x250	1183	1119	0	0	0.01	2011-07-02	2011-03-01	123
793105	728x90	1183	1119	0	0	0.83	2011-08-24	2011-07-13	42
790643	160x600	1183	1119	4	0	0.91	2011-11-07	2011-04-19	202
795242	300x250	1183	1124	0	0	0.02	2011-09-27	2011-03-25	186
792389	728x90	1183	1124	1	0	3.19	2011-05-02	2011-03-09	54
787341	728x90	1183	1126	0	0	0.34	2012-02-05	2011-07-13	207
806241	728x90	1183	1126	1	0	0.42	2011-12-30	2011-07-13	170
789625	160x600	1183	1126	0	0	0.28	2011-09-27	2011-03-09	202
777884	728x90	1183	1127	3	1	0.47	2011-09-08	2011-03-02	190
800295	300x250	1183	1127	1	0	0.24	2011-09-16	2011-03-17	183
792840	728x90	1183	1127	1	0	1.12	2012-02-02	2011-07-14	203
789094	300x250	1183	1128	0	0	0.55	2012-02-04	2011-03-22	319
801372	728x90	1183	1129	0	0	0.72	2012-01-13	2011-07-14	183
786410	160x600	1183	1129	4	0	0.35	2011-06-24	2011-03-01	115
796454	300x250	1183	1131	1	0	0.64	2011-09-03	2011-03-15	172
730421	160x600	1	1132	3	0	1.32	2011-05-04	2011-03-03	62
794814	300x250	87	1139	1	0	0.51	2011-11-13	2011-03-15	243
721127	300x250	85	1139	5	0	1.48	2011-04-01	2011-03-10	22
771965	160x600	1183	1140	0	0	1.08	2011-07-10	2011-03-09	123
775623	300x250	1183	1140	0	0	0.46	2011-12-12	2011-07-13	152
799882	728x90	1183	1144	0	0	0.61	2011-09-08	2011-07-13	57
790256	300x250	1183	1144	1	0	0.18	2012-02-05	2011-03-17	325
806804	160x600	87	1148	0	0	0.35	2011-09-26	2011-07-13	75
763831	180x150	83	1149	0	0	0.01	2011-07-12	2011-05-03	70
762815	300x250	1	1152	0	0	0.38	2012-01-25	2011-03-02	329
790964	728x90	1183	1152	0	0	0.14	2011-06-02	2011-03-09	85
783998	300x250	1183	1154	0	0	0.21	2012-01-25	2011-07-19	190
801411	728x90	1183	1160	0	0	0.01	2011-08-25	2011-07-14	42
770496	728x90	87	1161	0	0	0.19	2011-10-25	2011-07-13	104
803311	160x600	87	1164	0	0	0.51	2011-09-10	2011-07-13	59
800801	728x90	87	1164	0	0	1.02	2012-02-05	2011-03-31	311
779843	160x600	1183	1166	0	0	0.04	2011-07-11	2011-07-04	7
796604	160x600	87	1168	1	0	1.19	2011-05-17	2011-03-01	77
785002	160x600	1183	1170	0	0	0.01	2011-12-13	2011-03-05	283
798728	160x600	1183	1174	1	0	0.70	2012-01-06	2011-07-19	171
805156	728x90	1183	1175	0	0	0.15	2011-10-23	2011-07-13	102
756429	160x600	82	1175	1	0	0.03	2011-05-05	2011-03-01	65
777706	728x90	87	1176	0	0	0.67	2012-02-04	2011-03-16	325
794336	160x600	1183	1179	2	0	0.18	2012-01-02	2011-03-04	304
792961	300x250	1183	1183	1	0	0.29	2011-03-19	2011-03-01	18
793653	300x250	1183	1189	0	0	0.01	2011-06-10	2011-03-01	101
790846	728x90	79	1191	0	0	0.06	2011-06-23	2011-04-04	80
743236	728x90	82	1192	0	0	2.18	2011-03-25	2011-03-09	16
800106	300x250	1235	1193	1	0	0.68	2011-07-27	2011-07-13	14
765497	300x250	87	1193	0	0	0.67	2012-02-05	2011-07-13	207
730840	160x600	1183	1197	2	0	0.05	2011-09-25	2011-03-01	208
807616	728x90	1183	1205	0	0	0.57	2011-11-16	2011-07-13	126
778465	728x90	1183	1206	0	0	0.74	2011-04-08	2011-03-01	38
794417	300x250	87	1207	0	0	0.90	2012-02-04	2011-03-18	323
812565	300x600	87	1209	1	0	0.01	2011-09-26	2011-09-17	9
755627	300x250	87	1212	0	0	0.72	2011-09-10	2011-03-01	193
797386	728x90	1183	1215	3	0	0.24	2011-09-18	2011-03-09	193
799517	160x600	87	1221	0	0	0.47	2011-12-12	2011-07-13	152
755988	728x90	1183	1228	0	0	0.26	2012-01-06	2011-07-13	177
800746	300x250	1183	1229	5	0	2.20	2012-02-05	2011-07-13	207
765406	160x600	1183	1231	0	0	0.06	2011-10-08	2011-03-01	221
795217	160x600	1183	1233	0	0	0.05	2011-03-31	2011-03-01	30
689932	160x600	1183	1239	2	0	0.05	2011-09-11	2011-03-09	186
805710	160x600	1183	1241	0	0	0.55	2011-12-30	2011-07-13	170
761260	160x600	1	1243	0	0	1.09	2011-06-28	2011-03-02	118
784857	728x90	1183	1243	0	0	1.85	2011-04-14	2011-03-01	44
802454	468x60	87	1243	0	0	0.27	2012-02-05	2011-07-01	219
800279	300x250	65	1244	0	0	0.50	2011-09-16	2011-07-13	65
743234	728x90	85	1245	0	0	0.19	2011-05-31	2011-05-22	9
721489	728x90	78	1249	0	0	0.26	2012-02-05	2011-07-13	207
797577	300x250	1183	1252	0	0	0.64	2011-12-19	2011-07-13	159
804718	160x600	1183	1256	0	0	1.76	2011-12-23	2011-07-13	163
796972	300x250	1183	1257	0	0	0.36	2012-02-05	2011-07-13	207
761110	728x90	247	1261	4	0	0.64	2011-03-03	2011-03-01	2
797667	300x250	87	1263	1	0	0.60	2012-01-19	2011-07-13	190
782130	160x600	87	1264	0	0	0.21	2011-05-26	2011-03-01	86
773734	728x90	78	1266	1	0	1.33	2011-05-05	2011-03-01	65
747556	300x250	1	1267	8	0	0.99	2012-01-21	2011-07-13	192
797959	300x250	1183	1267	7	0	0.07	2011-09-24	2011-03-14	194
799655	300x250	1183	1269	1	0	0.68	2011-08-02	2011-03-09	146
804988	728x90	87	1271	1	0	3.39	2012-02-05	2011-07-13	207
807950	300x250	1183	1272	0	0	0.07	2012-01-12	2011-07-13	183
792387	728x90	1183	1276	0	0	3.45	2011-08-23	2011-07-13	41
720834	728x90	264	1279	2	0	1.38	2012-02-05	2011-07-13	207
780954	120x600	1183	1280	1	0	0.01	2011-10-21	2011-03-15	220
791434	160x600	87	1285	0	0	0.25	2011-09-14	2011-03-02	196
783811	120x600	1183	1286	2	0	0.17	2011-10-21	2011-03-01	234
729998	728x90	1183	1289	1	0	0.77	2011-05-24	2011-03-10	75
785455	300x250	82	1291	0	0	1.01	2012-01-03	2011-07-13	174
808411	728x90	87	1292	5	0	1.69	2011-08-15	2011-07-13	33
807604	728x90	1183	1292	0	0	0.60	2011-10-31	2011-07-13	110
778655	300x250	79	1292	2	0	0.35	2011-08-03	2011-04-04	121
808414	120x600	1183	1295	0	0	0.68	2011-08-24	2011-07-07	48
792061	160x600	87	1297	0	0	0.08	2011-09-25	2011-03-01	208
803258	728x90	87	1298	0	0	0.93	2012-02-05	2011-07-13	207
797822	160x600	1183	1302	0	0	0.03	2011-08-18	2011-03-23	148
800233	300x250	87	1303	0	0	0.69	2011-08-23	2011-07-13	41
802488	728x90	87	1308	0	0	0.41	2011-08-13	2011-07-13	31
767176	300x250	81	1310	2	0	1.07	2011-05-04	2011-03-16	49
771523	160x600	1183	1314	0	0	0.09	2012-01-28	2011-04-25	278
790303	160x600	1183	1318	1	0	0.05	2011-05-20	2011-03-03	78
803755	300x250	87	1320	7	2	0.33	2011-10-14	2011-07-13	93
796665	728x90	87	1320	0	0	0.28	2011-04-12	2011-03-01	42
775517	728x90	82	1321	0	0	0.37	2011-09-27	2011-03-01	210
783924	728x90	87	1322	5	0	0.48	2012-02-05	2011-03-02	340
770483	160x600	87	1325	4	0	0.21	2011-08-07	2011-03-02	158
791350	300x250	79	1325	0	0	0.03	2011-11-08	2011-04-04	218
803763	300x250	87	1329	3	0	0.19	2011-09-27	2011-07-13	76
753372	728x90	1	1330	1	0	0.36	2011-10-06	2011-03-01	219
707494	728x90	78	1333	6	0	1.43	2012-02-05	2011-03-12	330
780986	160x600	1183	1334	1	0	0.68	2011-04-29	2011-03-01	59
763775	160x600	67	1337	0	0	0.40	2012-01-18	2011-03-01	323
773587	300x250	1183	1338	1	0	0.03	2012-02-04	2011-03-09	332
768911	300x250	1236	1338	0	0	0.13	2011-07-15	2011-03-09	128
772543	728x90	1183	1340	0	0	0.64	2011-05-22	2011-03-02	81
769109	728x90	87	1341	2	0	0.22	2012-02-05	2011-07-13	207
791029	160x600	1183	1347	2	0	0.76	2011-07-01	2011-03-01	122
807051	300x250	87	1350	0	0	0.02	2011-09-21	2011-07-13	70
801510	300x250	87	1350	0	0	0.11	2012-02-04	2011-07-13	206
807481	728x90	87	1353	0	0	0.54	2012-02-03	2011-07-13	205
792427	728x90	1183	1354	0	0	0.08	2011-06-07	2011-03-01	98
791335	160x600	1183	1358	0	0	0.01	2012-01-08	2011-03-30	284
771408	728x90	1183	1359	1	0	0.82	2011-03-15	2011-03-01	14
791213	160x600	1183	1362	0	0	0.01	2011-09-27	2011-03-01	210
790993	160x600	1183	1365	12	0	0.82	2011-09-09	2011-07-13	58
787706	468x60	1183	1367	8	0	0.04	2011-08-26	2011-03-01	178
743168	300x250	81	1368	0	0	3.38	2011-04-09	2011-03-09	31
784860	160x600	1183	1372	0	0	1.21	2011-05-03	2011-03-01	63
782852	300x250	87	1375	0	0	0.84	2012-01-19	2011-04-30	264
805339	300x250	1183	1378	1	0	0.48	2012-02-05	2011-07-13	207
769553	300x250	65	1380	1	0	0.05	2011-10-05	2011-03-10	209
786769	160x600	1183	1384	3	0	0.13	2011-08-30	2011-03-08	175
805054	728x90	87	1385	0	0	0.41	2012-02-04	2011-07-13	206
787924	160x600	1236	1386	1	0	1.79	2011-04-23	2011-03-09	45
792040	300x250	1183	1386	0	0	0.07	2011-08-24	2011-03-01	176
738237	468x60	1	1386	0	0	0.54	2011-09-21	2011-03-05	200
798803	728x90	1183	1386	0	0	2.17	2012-02-05	2011-03-08	334
806173	300x250	1183	1389	0	0	1.66	2011-07-27	2011-07-13	14
767903	728x90	1183	1392	0	0	0.07	2011-07-07	2011-03-01	128
802534	728x90	1183	1392	2	0	0.31	2012-02-05	2011-06-21	229
807615	300x250	1183	1393	0	0	0.69	2011-11-18	2011-07-13	128
770361	300x250	1183	1393	0	0	0.06	2011-09-27	2011-04-16	164
803814	728x90	87	1395	0	0	0.74	2012-02-05	2011-07-13	207
787215	300x250	1183	1396	0	0	0.06	2011-04-30	2011-03-10	51
755732	300x250	1	1399	0	0	0.06	2011-10-17	2011-03-07	224
749492	160x600	87	1400	0	0	0.74	2011-07-29	2011-03-01	150
791184	728x90	87	1401	1	0	0.52	2011-07-05	2011-03-09	118
798779	728x90	1183	1402	0	0	0.93	2011-07-25	2011-03-03	144
769963	160x600	1183	1406	6	0	0.83	2011-09-18	2011-03-01	201
742746	728x90	1183	1406	0	0	0.08	2011-05-03	2011-03-01	63
751682	300x250	1	1407	0	0	0.74	2011-08-04	2011-03-02	155
783030	300x250	1183	1408	2	0	0.22	2011-06-27	2011-03-31	88
781580	300x250	87	1408	0	0	0.58	2011-06-07	2011-03-30	69
777365	160x600	1183	1409	4	0	0.01	2011-09-27	2011-03-02	209
791027	160x600	87	1411	0	0	0.10	2011-07-02	2011-03-18	106
805249	300x250	87	1413	0	0	0.67	2011-09-27	2011-07-13	76
735204	160x600	79	1416	0	0	0.23	2011-08-31	2011-03-01	183
767632	300x250	1183	1420	5	0	1.43	2012-02-05	2011-07-13	207
777908	160x600	1183	1424	0	0	0.43	2011-05-01	2011-03-01	61
798475	300x250	237	1435	0	0	0.24	2011-11-29	2011-03-11	263
775517	728x90	78	1438	3	0	0.48	2011-09-27	2011-03-01	210
802340	468x60	87	1440	0	0	0.26	2012-02-04	2011-06-04	245
793469	728x90	1183	1441	2	1	1.93	2012-02-05	2011-07-13	207
785924	300x250	78	1442	0	0	0.53	2011-08-23	2011-03-01	175
721318	300x250	82	1449	1	0	0.74	2012-01-03	2011-07-13	174
764988	300x250	87	1450	1	0	1.77	2012-02-05	2011-07-13	207
780392	160x600	1183	1452	0	0	0.18	2011-08-15	2011-03-02	166
777719	160x600	1183	1452	2	0	0.17	2011-11-18	2011-03-01	262
766944	300x250	1183	1458	1	0	0.89	2011-05-22	2011-03-01	82
799290	728x90	1183	1460	2	0	1.81	2012-02-05	2011-07-13	207
771532	728x90	87	1462	2	0	0.49	2012-02-05	2011-07-13	207
744562	728x90	81	1465	4	0	0.62	2011-03-22	2011-03-10	12
793530	728x90	1183	1469	0	0	0.05	2011-09-23	2011-03-01	206
730463	160x600	1	1469	1	1	0.58	2012-01-13	2011-07-13	184
804826	728x90	1183	1479	1	0	0.22	2011-09-01	2011-07-13	50
804352	300x250	1235	1479	0	0	0.86	2011-09-27	2011-07-13	76
800294	160x600	1183	1484	2	0	0.73	2011-09-16	2011-03-16	184
785924	300x250	81	1484	0	0	0.22	2011-09-08	2011-03-01	191
808356	160x600	1183	1485	0	0	0.06	2012-01-13	2011-07-02	195
780179	160x600	87	1486	0	0	1.52	2012-02-05	2011-07-13	207
757471	728x90	1	1488	33	0	0.02	2011-09-27	2011-03-03	208
806408	728x90	1183	1494	1	0	0.15	2012-02-05	2011-10-12	116
766302	160x600	1183	1505	0	0	0.72	2011-09-27	2011-03-01	210
808392	160x600	1183	1511	0	0	0.01	2011-08-26	2011-07-07	50
767771	300x250	1183	1515	0	0	0.85	2012-02-05	2011-07-13	207
748121	160x600	1	1519	0	0	0.04	2011-03-05	2011-03-01	4
706728	728x90	68	1520	0	0	0.45	2011-07-26	2011-03-09	139
789063	300x250	79	1523	0	0	0.96	2011-08-24	2011-03-03	174
763080	234x60	68	1523	1	0	0.12	2012-02-05	2011-07-15	205
799867	300x250	1183	1525	0	0	0.14	2011-07-30	2011-03-15	137
781523	728x90	1183	1530	0	0	0.43	2011-06-19	2011-03-02	109
772442	160x600	81	1533	0	0	0.05	2011-04-19	2011-04-14	5
760451	120x600	375	1535	0	0	0.75	2011-12-14	2011-03-01	288
797096	728x90	1183	1545	0	0	0.58	2012-02-05	2011-03-14	328
757025	728x90	87	1549	0	0	0.91	2012-02-03	2011-06-06	242
788170	234x60	1183	1550	1	0	0.01	2011-10-21	2011-05-30	144
755405	300x250	1183	1550	0	0	1.50	2012-02-04	2011-07-13	206
788137	728x90	1183	1551	0	0	0.05	2011-08-28	2011-03-08	173
771170	300x250	87	1556	3	0	1.56	2011-03-12	2011-03-01	11
781157	300x250	87	1557	1	0	0.92	2011-10-08	2011-03-09	213
744890	728x90	1	1558	0	0	1.90	2011-04-22	2011-03-09	44
783898	728x90	1183	1558	0	0	0.05	2011-09-27	2011-03-11	200
770982	300x250	1183	1558	0	0	0.02	2012-01-02	2011-03-01	307
721127	160x600	78	1559	10	0	4.14	2011-04-22	2011-03-09	44
796997	728x90	1183	1562	0	0	0.36	2011-09-18	2011-03-13	189
784560	120x600	87	1566	0	0	0.42	2011-09-23	2011-03-01	206
804969	300x250	87	1567	0	0	1.00	2011-10-19	2011-07-13	98
778373	728x90	1236	1572	0	0	1.05	2011-09-25	2011-03-09	200
790776	160x600	1183	1576	0	0	0.02	2011-09-24	2011-03-01	207
721127	160x600	83	1576	11	0	2.81	2011-06-02	2011-03-09	85
783478	160x600	87	1576	4	0	0.01	2011-09-15	2011-03-01	198
795911	728x90	1183	1585	0	0	0.03	2011-06-19	2011-03-01	110
805766	300x250	1183	1588	0	0	0.64	2012-02-03	2011-07-13	205
816528	160x600	1183	1589	0	0	0.01	2012-01-04	2012-01-03	1
752150	728x90	1	1593	1	0	1.21	2011-04-22	2011-03-09	44
774395	160x600	1183	1594	1	0	2.52	2011-11-29	2011-04-02	241
785296	160x600	1183	1595	0	0	0.18	2011-07-11	2011-03-02	131
793006	160x600	1183	1596	1	0	0.01	2011-12-21	2011-03-20	276
793089	728x90	87	1597	1	0	1.64	2011-05-24	2011-03-24	61
773592	728x90	87	1601	1	0	0.04	2011-04-17	2011-03-14	34
765465	300x250	87	1602	2	0	0.26	2011-05-03	2011-03-01	63
799385	468x60	87	1603	1	0	0.76	2011-11-01	2011-03-02	244
795590	300x250	87	1605	2	0	1.00	2011-04-05	2011-03-09	27
766755	180x150	83	1606	0	0	0.04	2011-12-15	2011-05-03	226
793751	728x90	1183	1613	0	0	0.08	2011-09-26	2011-03-09	201
777720	160x600	1183	1618	4	0	0.03	2011-12-14	2011-03-16	273
772259	300x250	1183	1619	1	0	0.02	2011-04-01	2011-03-30	2
793868	300x250	1183	1619	1	0	1.46	2011-10-07	2011-07-13	86
796718	300x250	87	1623	0	0	0.98	2012-01-19	2011-03-14	311
808412	728x90	1183	1624	7	0	3.27	2011-08-23	2011-07-13	41
743198	300x250	84	1628	10	0	4.50	2011-04-24	2011-03-01	54
807301	728x90	1183	1629	0	0	0.38	2012-02-05	2011-06-30	220
761045	728x90	87	1631	1	0	0.58	2012-02-05	2011-03-09	333
782720	160x600	1183	1632	1	0	1.54	2011-07-28	2011-03-01	149
806786	300x250	87	1633	0	0	0.50	2011-09-27	2011-07-13	76
801290	300x250	87	1634	1	0	1.23	2011-12-13	2011-07-13	153
795375	728x90	1183	1635	0	0	0.18	2011-08-27	2011-03-01	179
780831	728x90	1183	1642	0	0	1.46	2011-07-05	2011-06-14	21
803319	728x90	1183	1643	0	0	0.08	2011-09-08	2011-07-08	62
720834	728x90	242	1646	7	0	1.76	2012-02-05	2011-07-13	207
765594	728x90	1183	1647	0	0	0.23	2011-06-07	2011-03-09	90
798121	160x600	87	1648	4	0	1.74	2011-04-22	2011-03-09	44
808244	300x250	87	1650	1	0	2.45	2012-02-05	2011-07-01	219
782734	300x250	78	1651	15	0	1.86	2012-02-05	2011-07-14	206
765073	728x90	1183	1653	0	1	0.56	2011-08-16	2011-03-09	160
786967	728x90	1183	1655	1	0	0.57	2011-09-25	2011-03-01	208
803810	300x250	87	1657	0	0	0.99	2012-01-07	2011-07-13	178
808410	160x600	1183	1658	3	0	2.76	2011-08-18	2011-07-13	36
787805	160x600	1183	1659	0	0	0.54	2011-04-29	2011-03-04	56
808231	300x250	1183	1660	0	1	0.98	2011-07-19	2011-07-13	6
803606	160x600	1236	1662	0	0	0.01	2011-10-21	2011-08-19	63
766955	468x60	87	1667	0	0	0.34	2012-02-05	2011-03-16	326
810539	300x250	-20	1668	0	0	0.02	2011-08-17	2011-08-17	0
797979	160x600	87	1674	0	0	0.01	2011-09-22	2011-03-09	197
804201	728x90	87	1676	1	0	0.34	2011-10-09	2011-06-01	130
799152	728x90	87	1676	0	0	0.65	2012-02-04	2011-03-18	323
782350	160x600	87	1678	0	0	1.07	2012-02-05	2011-07-13	207
730422	300x250	81	1679	4	1	0.66	2011-03-10	2011-03-01	9
782734	300x250	79	1685	3	0	2.76	2012-02-05	2011-07-14	206
781109	300x250	87	1685	1	0	1.16	2012-02-05	2011-07-13	207
755418	300x250	1183	1686	6	0	1.05	2012-02-05	2011-07-13	207
794967	160x600	1183	1687	1	0	0.15	2011-10-21	2011-03-02	233
800288	160x600	1183	1687	0	0	1.48	2011-04-04	2011-03-16	19
804356	160x600	1235	1691	0	0	0.31	2011-09-27	2011-07-13	76
788136	300x250	1183	1692	0	0	0.19	2011-09-27	2011-03-18	193
790619	300x250	87	1693	0	0	1.17	2011-12-22	2011-07-13	162
779690	300x250	87	1698	2	0	0.11	2012-01-12	2011-03-15	303
787356	728x90	1183	1699	0	0	2.15	2011-05-24	2011-05-23	1
783761	300x250	1183	1702	0	0	0.01	2011-09-27	2011-03-31	180
791598	728x90	87	1714	0	0	0.09	2011-09-27	2011-03-09	202
801512	300x250	87	1723	1	0	0.26	2012-02-05	2011-07-13	207
796983	300x250	1183	1725	0	0	3.74	2012-02-05	2011-07-13	207
789861	160x600	1183	1730	0	0	0.07	2011-07-12	2011-03-04	130
795516	160x600	1183	1731	0	0	1.23	2012-01-12	2011-03-11	307
791440	300x600	87	1733	1	0	0.01	2011-10-20	2011-09-11	39
799075	160x600	1183	1735	0	0	0.08	2011-09-14	2011-03-09	189
794409	300x250	1183	1737	0	0	0.38	2011-04-26	2011-03-01	56
757501	728x90	87	1740	1	0	0.72	2012-02-04	2011-07-13	206
792136	728x90	1183	1743	0	0	1.41	2012-01-07	2011-07-13	178
807800	300x250	1183	1756	2	0	0.89	2011-12-01	2011-07-13	141
793565	300x250	1183	1757	1	0	0.16	2012-01-26	2011-05-27	244
800104	728x90	1235	1758	0	0	0.95	2011-07-25	2011-07-13	12
784182	300x250	84	1761	0	0	0.04	2011-07-27	2011-03-19	130
761713	728x90	69	1768	0	0	0.22	2012-02-04	2011-03-11	330
780925	728x90	1183	1768	1	0	0.08	2011-10-21	2011-07-11	102
743183	300x250	1183	1781	3	0	1.00	2011-08-27	2011-03-03	177
804875	160x600	1183	1784	0	0	0.22	2012-02-04	2011-07-13	206
787703	468x60	1183	1787	2	0	0.04	2011-08-25	2011-03-01	177
778379	300x250	1183	1787	1	0	0.47	2011-09-12	2011-03-02	194
797370	300x250	1183	1789	4	0	0.48	2012-02-05	2011-07-13	207
807007	160x600	87	1794	1	0	0.95	2012-02-03	2011-07-13	205
785006	300x250	1183	1794	0	0	0.01	2011-09-27	2011-03-01	210
743391	160x600	1183	1800	2	0	1.48	2011-06-30	2011-03-09	113
759556	300x250	1183	1802	3	0	1.01	2011-06-01	2011-03-01	92
807729	300x250	1235	1805	3	0	1.00	2012-01-18	2011-07-13	189
791808	728x90	87	1807	0	0	0.91	2012-01-06	2011-07-13	177
735204	160x600	78	1814	1	0	0.23	2011-09-08	2011-04-02	159
791265	728x90	1183	1816	2	0	0.38	2011-08-17	2011-03-09	161
783107	728x90	1183	1818	0	0	0.07	2011-12-13	2011-03-08	280
807032	728x90	1183	1818	2	0	0.12	2012-02-05	2011-07-13	207
793194	728x90	1183	1819	0	0	0.74	2012-02-05	2011-07-14	206
790207	728x90	82	1820	0	0	2.42	2011-03-21	2011-03-14	7
796713	728x90	1183	1820	0	0	0.16	2011-11-14	2011-03-10	249
808190	300x250	1183	1822	0	0	0.79	2011-12-13	2011-07-14	152
787466	160x600	66	1824	1	0	0.01	2011-05-10	2011-04-09	31
720834	728x90	243	1825	2	0	4.93	2012-02-05	2011-06-21	229
740863	300x250	78	1836	0	0	2.00	2012-01-21	2011-07-13	192
794761	300x250	87	1836	29	0	0.57	2011-09-21	2011-03-15	190
740863	300x250	83	1839	0	0	1.14	2012-01-20	2011-07-14	190
771562	300x250	1183	1842	4	0	0.59	2011-11-04	2011-03-01	248
789201	728x90	1183	1843	1	0	0.72	2011-10-20	2011-03-10	224
783562	300x250	1183	1847	1	0	0.02	2012-01-11	2011-03-01	316
811778	728x90	1183	1847	3	0	0.02	2011-08-19	2011-08-19	0
807949	728x90	1183	1850	0	0	0.04	2012-02-05	2011-07-13	207
772845	728x90	1183	1851	2	0	0.70	2011-10-10	2011-03-01	223
806967	728x90	87	1856	3	0	0.52	2012-01-22	2011-07-13	193
805026	300x250	1183	1857	1	0	1.11	2011-09-09	2011-07-13	58
710076	728x90	1183	1860	0	0	0.88	2012-01-06	2011-03-11	301
781595	160x600	1183	1867	0	0	1.81	2011-07-24	2011-03-26	120
781314	728x90	1183	1869	2	0	2.54	2011-03-16	2011-03-01	15
720129	300x250	1	1882	0	0	0.48	2011-04-05	2011-03-09	27
777878	728x90	1183	1883	14	0	1.25	2012-02-04	2011-03-02	339
773734	728x90	84	1884	0	0	0.11	2011-09-27	2011-03-01	210
790289	300x250	1183	1885	10	0	0.94	2011-06-06	2011-03-02	96
785323	300x250	1183	1892	1	0	0.60	2012-02-03	2011-03-31	309
748045	728x90	1	1894	0	0	0.08	2011-10-21	2011-03-11	224
804981	728x90	1183	1896	0	0	0.38	2012-01-20	2011-07-13	191
799656	160x600	1183	1900	2	0	1.07	2011-03-29	2011-03-08	21
805557	728x90	1183	1904	0	0	0.96	2012-02-05	2011-07-13	207
803252	300x250	1183	1909	0	0	0.69	2012-02-05	2011-07-13	207
794908	728x90	87	1913	1	0	0.01	2011-09-06	2011-08-24	13
795449	728x90	87	1914	0	0	0.16	2011-10-18	2011-03-09	223
807302	300x250	1183	1914	1	0	0.11	2012-02-04	2011-06-30	219
808351	468x60	87	1924	0	0	0.57	2012-02-05	2011-07-13	207
793241	160x600	1183	1928	0	0	0.95	2011-10-10	2011-07-15	87
780202	728x90	1183	1931	1	0	1.69	2011-03-17	2011-03-01	16
735539	160x600	1	1931	2	0	1.58	2012-01-21	2011-03-01	326
791349	160x600	83	1935	0	0	0.10	2011-11-08	2011-03-01	252
796069	160x600	1183	1936	1	0	0.20	2011-12-13	2011-03-13	275
797537	728x90	87	1939	1	0	5.23	2012-02-05	2011-03-22	320
764695	300x250	87	1939	1	0	3.07	2011-08-10	2011-07-13	28
791350	300x250	78	1941	1	0	0.32	2011-07-13	2011-03-01	134
793481	300x250	1183	1942	1	0	1.06	2012-02-04	2011-07-13	206
800068	728x90	1183	1944	0	0	0.36	2011-10-20	2011-03-18	216
776809	300x250	1183	1944	4	0	1.48	2011-10-06	2011-03-01	219
786191	300x250	1183	1949	2	0	1.43	2011-06-29	2011-03-03	118
756430	160x600	84	1949	1	0	0.06	2011-05-05	2011-03-01	65
743210	300x250	83	1950	5	0	5.23	2011-04-28	2011-03-01	58
736030	728x90	1	1950	2	0	0.03	2011-06-04	2011-03-09	87
792385	300x250	1183	1952	0	0	3.57	2011-08-23	2011-08-10	13
780202	728x90	376	1953	1	0	0.44	2012-02-03	2011-05-31	248
778395	300x250	1183	1966	2	0	0.21	2011-09-27	2011-03-03	208
785605	300x250	1183	1975	1	0	0.65	2011-10-21	2011-03-01	234
792139	300x250	1183	1975	1	0	0.40	2012-01-17	2011-03-09	314
772843	160x600	1183	1977	0	0	0.34	2011-07-08	2011-03-25	105
778384	728x90	1183	1984	1	0	1.09	2011-03-23	2011-03-01	22
801838	300x250	87	1988	0	0	0.81	2011-09-21	2011-07-13	70
788604	728x90	87	1993	0	0	0.40	2011-09-27	2011-03-01	210
789060	300x250	79	1994	0	0	1.06	2011-08-26	2011-03-09	170
783938	120x600	1183	1997	0	0	0.02	2011-10-21	2011-03-02	233
777354	300x250	1183	1999	0	0	0.36	2011-04-19	2011-03-01	49
800296	728x90	1183	2001	2	0	0.51	2011-09-13	2011-03-16	181
804041	160x600	1183	2002	1	0	1.02	2012-02-04	2011-07-13	206
773631	728x90	1183	2006	0	0	0.03	2011-05-04	2011-03-01	64
806408	300x250	1183	2007	2	0	1.21	2012-01-13	2011-07-13	184
