san	siteid	size	segmentid	n	k	a	cost	max(d.date)	min(d.date)	days	ads
aigebi1amjul11	806149	160x600	87	919	7	0	0.00	2011-09-27	2011-07-14	75	9
aigebi1amjul11	804540	300x250	87	105	0	0	0.00	2011-09-22	2011-07-15	69	9
aigebi1amjul11	809179	300x250	1183	2	0	0	0.00	2011-07-15	2011-07-15	0	2
aigebi1amjul11	807638	728x90	1184	2	0	0	0.00	2011-08-16	2011-08-15	1	2
aigebi1amjul11	813631	468x60	1183	21	0	0	0.00	2011-10-21	2011-10-20	1	1
aigebi1amjul11	810948	160x600	1183	14	0	0	0.00	2011-08-11	2011-08-10	1	7
aigebi1amjul11	817273	160x600	87	589	0	0	0.00	2011-11-16	2011-11-16	0	3
aigebi1amjul11	773806	300x250	1235	3785	0	0	0.00	2011-09-27	2011-07-14	75	9
aigebi1amjul11	752286	120x600	1184	5	0	0	0.00	2011-08-16	2011-08-15	1	1
aigebi1amjul11	781234	728x90	87	231	0	0	0.00	2011-09-20	2011-07-14	68	9
aigebi1amjul11	730375	160x600	1183	6	0	0	0.00	2011-09-08	2011-07-24	46	5
aigebi1amjul11	770166	300x250	1183	1688	1	0	0.00	2011-09-27	2011-07-16	73	9
aigebi1amjul11	786506	160x600	1183	8	0	0	0.00	2011-07-20	2011-07-14	6	5
aigebi1amjul11	784184	160x600	1183	67	0	0	0.00	2011-09-23	2011-07-15	70	9
aigebi1amjul11	794261	728x90	1183	871	2	0	0.00	2011-09-08	2011-07-31	39	9
aigebi1amjul11	792369	300x250	1183	3762	2	0	0.00	2011-09-24	2011-08-18	37	9
aigebi1amjul11	802373	300x250	1183	315	0	0	0.00	2011-09-27	2011-08-06	52	9
aigebi1amjul11	800354	300x250	1183	5	0	0	0.00	2011-11-05	2011-11-05	0	2
aigebi1amjul11	806214	160x600	1183	294	0	0	0.00	2011-09-09	2011-07-29	42	9
aigebi1amjul11	804668	728x90	1183	69	0	0	0.00	2011-09-26	2011-07-14	74	9
aigebi1amjul11	809274	160x600	87	8	0	0	0.00	2011-07-18	2011-07-16	2	5
aigebi1amjul11	807733	728x90	87	278	0	0	0.00	2011-09-22	2011-08-08	45	9
aigebi1amjul11	813827	728x90	1183	99	0	0	0.00	2011-11-02	2011-10-20	13	2
aigebi1amjul11	811048	300x250	1060	42	0	0	0.00	2011-08-24	2011-08-24	0	9
aigebi1amjul11	817559	300x250	1183	31	0	0	0.00	2011-11-09	2011-11-09	0	3
aigebi1amjul11	781481	728x90	87	299	0	0	0.00	2011-09-26	2011-08-12	45	9
aigebi1amjul11	731397	728x90	1183	797	0	0	0.00	2011-09-13	2011-07-15	60	9
aigebi1amjul11	778361	160x600	1236	3	0	0	0.00	2011-09-27	2011-09-25	2	2
aigebi1amjul11	786614	300x250	1183	48	0	0	0.00	2011-07-19	2011-07-17	2	8
aigebi1amjul11	763159	160x600	1	88	0	0	0.00	2011-09-27	2011-07-15	74	9
aigebi1amjul11	784363	728x90	1184	4	0	0	0.00	2011-08-16	2011-08-15	1	3
aigebi1amjul11	790467	300x250	1183	2394	0	0	0.00	2011-09-09	2011-07-14	57	9
aigebi1amjul11	794387	300x250	1183	10	0	0	0.00	2011-08-06	2011-07-20	17	6
aigebi1amjul11	796323	728x90	1183	287	0	0	0.00	2011-08-19	2011-07-14	36	9
aigebi1amjul11	802458	120x600	87	18	0	0	0.00	2011-10-21	2011-10-20	1	1
aigebi1amjul11	800530	728x90	1183	7	0	0	0.00	2011-07-21	2011-07-21	0	5
aigebi1amjul11	806309	160x600	1183	410	0	0	0.00	2011-09-27	2011-07-14	75	8
aigebi1amjul11	809429	160x600	87	9	0	0	0.00	2011-08-11	2011-07-30	12	5
aigebi1amjul11	813993	160x600	1183	5	0	0	0.00	2011-10-27	2011-10-27	0	3
aigebi1amjul11	811151	728x90	87	1120	0	0	0.00	2011-08-18	2011-08-17	1	8
aigebi1amjul11	817793	728x90	87	76	0	0	0.00	2011-11-14	2011-11-14	0	2
aigebi1amjul11	770372	300x250	1183	16707	11	0	0.00	2011-09-26	2011-09-12	14	9
aigebi1amjul11	734476	728x90	1183	801	0	0	0.00	2011-10-21	2011-07-17	96	9
aigebi1amjul11	784528	120x600	1183	1	0	0	0.00	2011-07-30	2011-07-30	0	1
aigebi1amjul11	790536	728x90	87	206	0	0	0.00	2011-09-26	2011-07-14	74	9
aigebi1amjul11	754006	300x250	1	60	0	0	0.00	2011-08-06	2011-08-01	5	9
aigebi1amjul11	788785	300x250	1183	10	0	0	0.00	2011-09-05	2011-07-31	36	6
aigebi1amjul11	794606	300x250	1183	586	0	0	0.00	2011-09-26	2011-07-17	71	9
aigebi1amjul11	792476	300x250	1183	353	0	0	0.00	2011-11-15	2011-07-14	124	9
aigebi1amjul11	798475	300x250	237	27	0	0	0.00	2011-07-19	2011-07-19	0	1
aigebi1amjul11	796499	120x600	87	2	0	0	0.00	2011-10-20	2011-10-20	0	1
aigebi1amjul11	802633	300x250	1183	1177	0	0	0.00	2011-09-27	2011-07-19	70	9
aigebi1amjul11	770485	160x600	87	751	0	0	0.00	2011-10-13	2011-07-16	89	9
aigebi1amjul11	781765	300x250	1183	138	0	0	0.00	2011-09-19	2011-08-22	28	9
aigebi1amjul11	786793	160x600	1183	239	0	0	0.00	2011-11-08	2011-07-14	117	9
aigebi1amjul11	100	160x600	1	508	25	0	0.00	2011-11-14	2011-07-17	120	16
aigebi1amjul11	784578	120x600	87	2	0	0	0.00	2011-11-10	2011-09-17	54	1
aigebi1amjul11	790598	468x60	87	3	0	0	0.00	2011-08-19	2011-08-10	9	1
aigebi1amjul11	788967	300x250	1183	6	0	0	0.00	2011-09-26	2011-09-24	2	5
aigebi1amjul11	794690	300x250	87	21	0	0	0.00	2011-08-25	2011-07-17	39	9
aigebi1amjul11	792649	728x90	1183	72	0	0	0.00	2011-09-02	2011-07-15	49	9
aigebi1amjul11	798716	300x250	1183	4	0	0	0.00	2011-11-04	2011-10-20	15	3
aigebi1amjul11	796579	120x600	87	2338	8	0	0.00	2011-09-23	2011-08-28	26	1
aigebi1amjul11	803012	160x600	1183	143	0	0	0.00	2011-09-27	2011-07-14	75	9
aigebi1amjul11	800664	300x250	1183	64	1	0	0.00	2011-08-16	2011-07-14	33	8
aigebi1amjul11	806410	160x600	87	138	0	0	0.00	2011-09-08	2011-09-05	3	9
aigebi1amjul11	809626	160x600	1183	195	0	0	0.00	2011-07-21	2011-07-21	0	8
aigebi1amjul11	814347	728x90	1183	44	0	0	0.00	2011-10-08	2011-09-28	10	8
aigebi1amjul11	811343	160x600	1183	4	0	0	0.00	2011-10-02	2011-10-02	0	3
aigebi1amjul11	818005	300x250	1183	45	0	0	0.00	2011-11-15	2011-11-15	0	3
aigebi1amjul11	774960	728x90	87	2163	4	0	0.00	2011-09-27	2011-07-14	75	9
aigebi1amjul11	770669	160x600	1183	79	0	0	0.00	2011-08-13	2011-07-15	29	9
aigebi1amjul11	736848	728x90	1183	2	0	0	0.00	2011-10-04	2011-08-31	34	2
aigebi1amjul11	778689	468x60	1183	18	0	0	0.00	2011-07-29	2011-07-28	1	1
aigebi1amjul11	764881	300x250	1183	1825	0	0	0.00	2011-09-27	2011-07-14	75	9
aigebi1amjul11	754579	728x90	1147	305	0	0	0.00	2011-09-10	2011-08-18	23	8
aigebi1amjul11	794793	728x90	1184	1	0	0	0.00	2011-08-15	2011-08-15	0	1
