"DATE_HOUR","SITE_ID","MEDIA_ID","SEGMENT_ID","BID","IMPRESSIONS","CLICKS","ACTIONS","CONVERSIONS","SPEND"
"06/06/2011 09","787671","965167","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","787682","942354","1183",".75","15","0","0","0",".01125"
"06/06/2011 09","787693","942314","69",".01","17","0","0","0",".00017"
"06/06/2011 09","787693","942354","69",".01","12","0","0","0",".00012"
"06/06/2011 09","787693","942361","69",".01","15","0","0","0",".00015"
"06/06/2011 09","787693","971390","69",".01","21","0","0","0",".00021"
"06/06/2011 09","787697","942354","69",".02","43","0","0","0",".00086"
"06/06/2011 09","787698","942356","69",".02","113","0","0","0",".00226"
"06/06/2011 09","787698","942363","69",".02","123","0","0","0",".00246"
"06/06/2011 09","787698","971391","69",".02","115","0","0","0",".0023"
"06/06/2011 09","788367","942363","87",".51","44","0","0","0",".02244"
"06/06/2011 09","788483","942353","1",".32","5","0","0","0",".0016"
"06/06/2011 09","788504","942353","1183",".18","153","0","0","0",".02754"
"06/06/2011 09","788778","942353","1183",".22","97","0","0","0",".02134"
"06/06/2011 09","789059","982271","85",".04","15","0","0","0",".0006"
"06/06/2011 09","789061","942363","84",".05","39","0","0","0",".00195"
"06/06/2011 09","789064","982277","83",".04","28","0","0","0",".00112"
"06/06/2011 09","789190","942352","87",".32","13","0","0","0",".00416"
"06/06/2011 09","789626","942363","1183",".43","503","0","0","0",".21629"
"06/06/2011 09","789783","942353","1183",".01","2","0","0","0",".00002"
"06/06/2011 09","789783","942358","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","789804","942314","1183",".28","67","0","0","0",".01876"
"06/06/2011 09","789851","942356","1183",".26","52","0","0","0",".01352"
"06/06/2011 09","789958","942353","1183",".24","14","0","0","0",".00336"
"06/06/2011 09","790291","942363","1183",".13","17","0","0","0",".00221"
"06/06/2011 09","790586","942314","1183",".01","735","0","0","0",".00735"
"06/06/2011 09","790586","942354","1183",".01","796","0","0","0",".00796"
"06/06/2011 09","790586","942361","1183",".01","797","0","0","0",".00797"
"06/06/2011 09","790586","971390","1183",".01","1417","0","0","0",".01417"
"06/06/2011 09","790586","982273","1183",".01","740","0","0","0",".0074"
"06/06/2011 09","790586","1007641","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","790586","1007649","1183",".01","2","0","0","0",".00002"
"06/06/2011 09","790586","1007661","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","790587","942356","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","790587","942363","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","790587","965167","1183",".01","5","0","0","0",".00005"
"06/06/2011 09","790587","971391","1183",".01","12","0","0","0",".00012"
"06/06/2011 09","790587","982277","1183",".01","4","0","0","0",".00004"
"06/06/2011 09","790665","942314","1183",".83","580","0","0","0",".4814"
"06/06/2011 09","790724","942356","1183",".09","259","0","0","0",".02331"
"06/06/2011 09","790725","942354","1183",".1","83","0","0","0",".0083"
"06/06/2011 09","790727","942353","1183",".02","546","0","0","0",".01092"
"06/06/2011 09","790728","942353","1183",".16","322","0","0","0",".05152"
"06/06/2011 09","791472","942314","1183",".02","326","0","0","0",".00652"
"06/06/2011 09","791473","942353","87",".41","178","0","0","0",".07298"
"06/06/2011 09","792023","942353","1183","1.06","2873","3","0","0","3.04538"
"06/06/2011 09","792399","942363","1183",".08","158","0","0","0",".01264"
"06/06/2011 09","772030","942358","1183",".01","2","0","0","0",".00002"
"06/06/2011 09","773034","942314","1183",".01","11","0","0","0",".00011"
"06/06/2011 09","773034","942354","1183",".01","22","0","0","0",".00022"
"06/06/2011 09","773034","942361","1183",".01","16","0","0","0",".00016"
"06/06/2011 09","773034","971390","1183",".01","23","0","0","0",".00023"
"06/06/2011 09","773034","982273","1183",".01","23","0","0","0",".00023"
"06/06/2011 09","773873","942314","1183",".22","991","0","0","0",".21802"
"06/06/2011 09","776606","942356","1183",".37","1","0","0","0",".00037"
"06/06/2011 09","776691","942354","1183",".59","304","0","0","0",".17936"
"06/06/2011 09","777356","942355","1183",".35","1","0","0","0",".00035"
"06/06/2011 09","777477","971338","1183",".07","17","0","0","0",".00119"
"06/06/2011 09","778104","942314","1183",".19","104","0","0","0",".01976"
"06/06/2011 09","778104","971390","1183",".19","105","1","0","0",".01995"
"06/06/2011 09","778143","942314","1183",".27","141","0","0","0",".03807"
"06/06/2011 09","778414","942363","1183",".18","25","0","0","0",".0045"
"06/06/2011 09","778653","982271","84",".06","360","0","0","0",".0216"
"06/06/2011 09","778655","942354","82",".05","3","0","0","0",".00015"
"06/06/2011 09","778657","965167","85",".01","1","0","0","0",".00001"
"06/06/2011 09","778657","971391","85",".01","1","0","0","0",".00001"
"06/06/2011 09","778657","982277","85",".01","1","0","0","0",".00001"
"06/06/2011 09","778823","942363","1183",".02","49","0","0","0",".00098"
"06/06/2011 09","778823","971391","1183",".02","58","0","0","0",".00116"
"06/06/2011 09","778823","982277","1183",".02","57","0","0","0",".00114"
"06/06/2011 09","780442","942356","66",".39","3446","2","0","0","1.34394"
"06/06/2011 09","780443","942354","65",".43","2739","1","0","0","1.17777"
"06/06/2011 09","780532","971390","1183",".12","5","0","0","0",".0006"
"06/06/2011 09","780961","942354","1183",".72","217","0","0","0",".15624"
"06/06/2011 09","781892","942353","1183",".65","214","0","0","0",".1391"
"06/06/2011 09","782102","971390","1183",".01","3","0","0","0",".00003"
"06/06/2011 09","782356","942363","1183",".55","41","0","0","0",".02255"
"06/06/2011 09","782419","942353","1183",".76","237","1","0","0",".18012"
"06/06/2011 09","782693","942356","1183",".01","2","0","0","0",".00002"
"06/06/2011 09","782744","942353","1183",".36","30","0","0","0",".0108"
"06/06/2011 09","782800","942356","66",".32","150","0","0","0",".048"
"06/06/2011 09","782800","942356","67",".24","228","0","0","0",".05472"
"06/06/2011 09","782800","942363","66",".32","168","0","0","0",".05376"
"06/06/2011 09","782872","942356","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","782872","965167","1183",".01","2","0","0","0",".00002"
"06/06/2011 09","783204","965167","1183",".01","3","0","0","0",".00003"
"06/06/2011 09","783206","942354","1183",".28","57","0","0","0",".01596"
"06/06/2011 09","783265","942353","1183",".05","140","0","0","0",".007"
"06/06/2011 09","783267","942356","1183",".09","218","0","0","0",".01962"
"06/06/2011 09","783288","942356","67",".41","6","0","0","0",".00246"
"06/06/2011 09","783288","942363","66",".45","38","0","0","0",".0171"
"06/06/2011 09","783616","942354","1183",".81","46","1","0","0",".03726"
"06/06/2011 09","784421","942356","1183",".82","28","0","0","0",".02296"
"06/06/2011 09","784629","971391","1183",".03","363","0","0","0",".01089"
"06/06/2011 09","784707","942356","1183",".03","4","0","0","0",".00012"
"06/06/2011 09","784707","971391","1183",".01","1","0","0","0",".00001"
"06/06/2011 09","784887","942353","1183",".37","185","0","0","0",".06845"
"06/06/2011 09","785207","942314","1183","1.28","9","0","0","0",".01152"
"06/06/2011 09","785546","942356","83",".1","383","0","0","0",".0383"
"06/06/2011 09","786667","942356","1183",".01","2","0","0","0",".00002"
"06/06/2011 09","763097","942356","84",".4","140","0","0","0",".056"
"06/06/2011 09","763097","971391","84",".4","240","0","0","0",".096"
"06/06/2011 09","763793","971390","1235",".22","20","0","0","0",".0044"
"06/06/2011 09","764213","942314","379",".05","26","0","0","0",".0013"
